time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-05-08T16:39:33.000Z,33.970898,-84.223425,296.0,29.0,27.1,1.0,1,gps,1.2,0.8,1.5,-26.0,,,,7,
2019-05-08T16:39:44.000Z,33.970889,-84.223454,296.0,36.0,11.2,0.5,6,gps,1.1,0.8,1.3,-26.0,,,,7,
2019-05-08T19:22:56.000Z,33.969956,-84.222245,290.0,12.0,99.1,7.25,10,gps,1.4,0.9,1.6,-26.0,,,,91,
2019-05-08T19:22:58.000Z,33.969932,-84.222132,285.0,12.0,101.0,5.0,0,gps,0.9,0.8,1.2,-26.0,,,,91,
2019-05-08T19:23:00.000Z,33.969919,-84.222076,284.0,12.0,104.3,4.5,0,gps,0.9,0.8,1.2,-26.0,,,,91,
2019-05-08T19:23:02.000Z,33.969886,-84.221986,285.0,11.0,102.9,4.0,0,gps,0.9,0.8,1.2,-26.0,,,,91,
2019-05-08T19:23:04.000Z,33.969903,-84.221952,282.0,12.0,103.8,3.5,0,gps,1.2,0.8,1.5,-26.0,,,,91,
2019-05-08T19:23:06.000Z,33.969938,-84.221995,279.0,12.0,103.7,0.5,0,gps,1.3,0.8,1.5,-26.0,,,,91,
2019-05-08T19:23:08.000Z,33.969945,-84.222010,280.0,10.0,103.7,0.25,0,gps,1.3,0.8,1.5,-26.0,,,,91,
2019-05-08T19:23:11.000Z,33.969947,-84.222029,281.0,9.0,,0.0,2,gps,1.3,0.8,1.5,-26.0,,,,91,
2019-05-08T19:23:11.996Z,33.969945,-84.222033,281.0,9.0,,0.0,10,gps,1.3,0.8,1.5,-26.0,,,,91,
2019-05-08T19:23:15.000Z,33.969923,-84.221989,288.0,9.0,,0.0,0,gps,1.3,0.8,1.5,-26.0,,,,91,
2019-05-08T19:23:18.000Z,33.969909,-84.221954,289.0,10.0,,0.0,1,gps,0.7,0.7,1.0,-26.0,,,,91,
2019-05-08T19:23:20.000Z,33.969910,-84.221952,288.0,10.0,,0.0,0,gps,0.7,0.7,1.0,-26.0,,,,91,
2019-05-08T19:23:23.000Z,33.969914,-84.221956,289.0,8.0,,0.0,0,gps,0.7,0.7,1.0,-26.0,,,,91,
2019-05-08T19:23:24.247Z,33.969915,-84.221957,289.0,9.0,,0.0,12,gps,0.8,0.7,1.1,-26.0,,,,91,
2019-05-08T19:23:27.000Z,33.969916,-84.221958,289.0,10.0,,0.0,0,gps,1.1,0.8,1.3,-26.0,,,,91,
2019-05-08T19:23:27.777Z,33.969917,-84.221958,289.0,9.0,,0.0,6,gps,1.1,0.8,1.3,-26.0,,,,91,
2019-05-08T19:23:30.000Z,33.969917,-84.221958,289.0,11.0,,0.0,0,gps,1.1,0.8,1.3,-26.0,,,,91,
2019-05-08T19:23:32.000Z,33.969917,-84.221959,289.0,11.0,,0.0,7,gps,2.5,0.9,2.7,-26.0,,,,91,
2019-05-08T19:23:34.000Z,33.969917,-84.221958,289.0,11.0,,0.0,0,gps,1.9,0.9,2.2,-26.0,,,,91,
2019-05-08T19:23:36.000Z,33.969916,-84.221961,290.0,10.0,,0.0,0,gps,1.9,0.9,2.2,-26.0,,,,91,
2019-05-08T19:23:38.000Z,33.969916,-84.221965,290.0,8.0,,0.0,0,gps,1.3,0.8,1.5,-26.0,,,,91,
2019-05-08T19:23:38.861Z,33.969917,-84.221966,290.0,7.0,,0.0,11,gps,1.3,0.8,1.5,-26.0,,,,91,
2019-05-08T19:23:40.234Z,33.969917,-84.221967,290.0,8.0,,0.0,0,gps,1.3,0.8,1.5,-26.0,,,,91,
2019-05-08T19:23:41.585Z,33.969917,-84.221968,290.0,9.0,,0.0,0,gps,1.3,0.8,1.5,-26.0,,,,91,
2019-05-08T19:23:45.000Z,33.969917,-84.221966,290.0,9.0,,0.0,0,gps,1.3,0.8,1.5,-26.0,,,,91,
2019-05-08T19:23:47.000Z,33.969914,-84.221955,290.0,11.0,,0.0,0,gps,1.3,0.8,1.5,-26.0,,,,91,
2019-05-08T19:23:49.000Z,33.969914,-84.221953,290.0,10.0,,0.0,0,gps,1.3,0.8,1.5,-26.0,,,,91,
2019-05-08T19:23:51.000Z,33.969915,-84.221955,290.0,10.0,,0.0,0,gps,1.3,0.8,1.5,-26.0,,,,91,
2019-05-08T19:23:53.000Z,33.969915,-84.221955,290.0,9.0,,0.0,0,gps,1.1,0.8,1.4,-26.0,,,,91,
2019-05-08T19:23:53.912Z,33.969915,-84.221955,290.0,8.0,,0.0,10,gps,1.1,0.8,1.4,-26.0,,,,91,
2019-05-08T19:23:55.268Z,33.969915,-84.221955,290.0,8.0,,0.0,0,gps,1.1,0.8,1.4,-26.0,,,,91,
2019-05-08T19:23:56.637Z,33.969915,-84.221955,290.0,8.0,,0.0,0,gps,1.1,0.8,1.4,-26.0,,,,91,
2019-05-08T19:23:57.911Z,33.969915,-84.221955,290.0,9.0,,0.0,0,gps,1.5,0.9,1.8,-26.0,,,,91,
2019-05-08T19:24:00.396Z,33.969915,-84.221955,290.0,9.0,,0.0,0,gps,1.5,0.9,1.8,-26.0,,,,91,
