time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-05-08T08:41:10.000Z,33.97000753,-84.22211618,271,15,97.8,9.5,11,gps,0.8,0.8,1.1,-26,,,,100,
2019-05-08T08:41:13.000Z,33.96997337,-84.22179851,275,13,110.8,6.5,8,gps,0.9,0.8,1.2,-26,,,,100,
2019-05-08T08:41:15.000Z,33.96994119,-84.22165935,280,9,150.7,5.5,0,gps,0.8,0.8,1.1,-26,,,,100,
2019-05-08T08:41:18.000Z,33.96964193,-84.22166644,278,7,187.7,8.75,1,gps,0.7,0.7,1,-26,,,,100,
2019-05-08T08:41:18.778Z,33.9695818,-84.22167632,278,7,187.7,8.75,14,gps,0.6,0.7,0.9,-26,,,,100,
2019-05-08T08:41:21.000Z,33.96932881,-84.22181056,276,7,198.1,12,0,gps,0.6,0.7,0.9,-26,,,,100,
2019-05-08T08:41:21.792Z,33.96924794,-84.22184215,275,8,198.1,12,13,gps,0.6,0.7,0.9,-26,,,,100,
2019-05-08T08:41:25.000Z,33.96884041,-84.22202259,276,8,199.5,14.5,1,gps,0.6,0.7,0.9,-26,,,,100,
2019-05-08T08:41:27.000Z,33.96850315,-84.2221179,278,7,199.8,19.25,1,gps,0.8,0.8,1.2,-26,,,,100,
2019-05-08T08:41:27.812Z,33.96835862,-84.22218005,278,6,200.3,20.5,10,gps,0.7,0.7,1,-26,,,,100,
2019-05-08T08:41:29.221Z,33.96809957,-84.22230709,277,7,201.5,21.5,5,gps,0.7,0.7,1,-26,,,,100,
2019-05-08T08:41:32.000Z,33.96755665,-84.22255929,276,9,200.4,22.5,1,gps,0.7,0.7,1,-26,,,,100,
2019-05-08T08:41:32.803Z,33.96740483,-84.22264322,277,9,200.8,22.5,10,gps,0.7,0.7,1.1,-26,,,,100,
2019-05-08T08:41:36.000Z,33.96678329,-84.2229436,279,11,202.4,23,1,gps,1,0.8,1.3,-26,,,,100,
2019-05-08T08:41:38.000Z,33.96635157,-84.22316078,280,7,203,23,1,gps,0.8,0.8,1.2,-26,,,,100,
2019-05-08T08:41:38.800Z,33.96620033,-84.22323917,280,6,203.6,23.25,7,gps,0.9,0.9,1.3,-26,,,,100,
2019-05-08T08:41:40.143Z,33.96594636,-84.22338602,280,8,204.1,23.25,1,gps,0.9,0.9,1.3,-26,,,,100,
2019-05-08T08:41:42.408Z,33.96558011,-84.22362303,283,7,206.4,21.5,1,gps,0.9,0.9,1.3,-26,,,,100,
